F2,random_scores,random_512_10,cdk_ECFP0,cdk_ECFP2,cdk_ECFP4,cdk_FCFP0,cdk_FCFP2,cdk_FCFP4,cdk_estate,cdk_maccs,cdk_pubchem,cdk_standard,indigo,map4_fingerprint_1024,map4_fingerprint_2048,map4_fingerprint_256,map4_fingerprint_512,openbabel_fp2,openbabel_fp3,openbabel_fp4,rdkit_atompair,rdkit_avalon,rdkit_fratmorgan,rdkit_layered,rdkit_morgan,rdkit_rdkit,rdkit_torsion
HIV_SL3,0.49915135593220344,0.5007256440677966,0.4746800234059725,0.5103891630347054,0.5107113438256659,0.530908598062954,0.5304445003664245,0.5371265310734463,0.4733392163034705,0.4764013349475383,0.5165144205318806,0.46834788540839384,0.47764267070217914,0.4229168434221146,0.4460925876623376,0.391949207425343,0.40641478128087166,0.478374202582728,0.5265944172203391,0.5036130137578693,0.49856749559806296,0.48752935673930586,0.5475672494632768,0.4810867635189669,0.5114910057013721,0.4615744503631961,0.5714369822437451
KLF6_mut,0.4980840326086956,0.5069693152173913,0.4711158416149068,0.47208022357763973,0.4713302267080745,0.49055929968944095,0.4729087080745341,0.47006722360248443,0.45752976863354033,0.4639257795031056,0.49695538664596267,0.4637528307453416,0.473457652173913,0.4422000139751553,0.4506092365079365,0.43409572204968944,0.4368025900869565,0.4660650046583851,0.5363266133043478,0.4973688726708074,0.4518498850931677,0.45443830279503106,0.4772162375776397,0.4570198524844721,0.4647002593167701,0.45623156987577634,0.4963344285714285
KLF6_wt,0.4947547297297296,0.5148552162162162,0.4786330888030888,0.4811550308880309,0.4822558571428571,0.4937062374517374,0.4791782509652509,0.4782537355212355,0.4748220965250965,0.4894126698841698,0.5103735656409266,0.48332590733590736,0.4767304787644787,0.47576840154440153,0.47543946332046333,0.4735018725830115,0.4701402007683398,0.47546063127413124,0.5331998668069498,0.5010947413166023,0.4698904208416988,0.4929548513513513,0.48804049806949806,0.4864664343629343,0.4849833513474903,0.5009848224015444,0.49383742084942084
KRAS,0.497238107,0.5065149923664123,0.467530992398037,0.4772925583925845,0.47583582883969466,0.48885723555070876,0.474901560523446,0.4811330577415485,0.4623861919302072,0.46060974591057796,0.4871529454558342,0.44039585496183203,0.4531080381679389,0.42622455179934565,0.4379352593406593,0.41499173391494004,0.4233387033805888,0.45869499994983637,0.5204017589967285,0.4861099203849509,0.44416490076335874,0.46427252562704474,0.46758536423118857,0.4485376717557252,0.47500755943293343,0.4163553958560523,0.4925861559432933
MALAT1,0.5010608795811519,0.501527942,0.5413731503178758,0.551826274459237,0.5442146050164548,0.49255255939566195,0.5239161069558713,0.535153051604338,0.540189837762154,0.5289454741959612,0.5257617830890052,0.502736215407629,0.5342575722064323,0.4530869274607329,0.48470788120300756,0.40462050037397157,0.42252633732236344,0.5358023717277487,0.5702413171750187,0.5198118818362004,0.5012072288780852,0.4767753642296185,0.5535840844913986,0.49720903440538516,0.5260150860134629,0.3872731555721765,0.5387025273545251
MTOR,0.5002697384615384,0.5050711384615385,0.3742475868131868,0.37525141318681315,0.3824167846153846,0.41171179340659336,0.4004796483516483,0.3981426989010989,0.3757282219780219,0.3118063120879121,0.37385122637362633,0.3577088989010989,0.3744277428571428,0.4247868637362637,0.4214995538461538,0.429888,0.42698944835164837,0.3727505164835164,0.39776400879120877,0.3556436725274725,0.3843328725274725,0.353603810989011,0.33563358461538456,0.40274825934065933,0.38554033626373624,0.39596170989010987,0.44378092747252745
MYB,0.5021092261904762,0.5059398571428572,0.4901817653061224,0.49596973979591835,0.49008387925170066,0.4837682585034013,0.48425153231292517,0.4831149370748299,0.47916524320408166,0.4928482278911565,0.47825054762585034,0.4633646887755102,0.47855562925170064,0.44617083503401356,0.4583863769363167,0.44153329761904764,0.44225542346938773,0.46561075,0.5424983197210884,0.5107038435306122,0.4520404557823129,0.4697387465986394,0.5059293673469388,0.45400847278911566,0.4865064931972789,0.43363704421768706,0.48538627380952376
MYCN,0.4990940408163266,0.5013176530612244,0.5475118045597668,0.48919482507288625,0.4793001078717201,0.43245602623906704,0.47450906997084547,0.4711073264956268,0.5378827288629737,0.5587488337842565,0.5221028134285713,0.5230114110787172,0.5387539300291545,0.5497446763323615,0.5430916996909622,0.5576912944606415,0.5550140145772595,0.5408478542274053,0.5014007580874635,0.5112633644139942,0.5184423760932945,0.4942443673819242,0.4740752653061224,0.5330050379008746,0.49740840227988337,0.456295860058309,0.4869279329446064
MYC_Pu22,0.4931997313432835,0.5064759090909091,0.49811378787878785,0.5100291926406927,0.5008932077922078,0.48544121212121205,0.4800213896190476,0.4902598225108225,0.49157635713419917,0.4951031341818181,0.5299357272683983,0.4950948809523809,0.5120569458874459,0.4788499805194805,0.483242619047619,0.46347896969696967,0.47263561255411257,0.4978124848484849,0.5312408917748918,0.5228934826839826,0.47957206926839824,0.4800630541125542,0.5250244155844156,0.48256625324675323,0.5148261233766234,0.45847554329004325,0.5198131168831169
NRAS,0.5004186095238096,0.5044554952380952,0.3820012612244898,0.377254956462585,0.38472336870748297,0.4124565605442177,0.40436814693877554,0.402961431292517,0.3836890693877551,0.3292716965986394,0.3945933455782313,0.36909429251700676,0.39508405306122446,0.42643627619047614,0.4243941945578231,0.42966940136054416,0.42852175510204077,0.388781019047619,0.39602751972789113,0.36869145170068024,0.39386660272108837,0.37327633061224486,0.35300916598639454,0.42769831427891153,0.38758754830612246,0.40542292517006795,0.4488073142789116
