"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-24.2044,-24.1717,-17.115,-17.1042,-9.40671,-9.40491,-5.46344,-5.44621,-9.40671,-5.46344
0,-17.7656,-20.1509,-4.03638,-4.5647,-19.6759,-20.193,-8.94775,-8.43872,-17.7656,-4.03638
0,-16.066,-17.4437,-9.75229,-9.93663,-13.528,-13.8883,-8.09881,-8.00972,-13.528,-8.09881
0,-38.0287,-37.5447,-24.7687,-24.3264,-22.5331,-23.4443,-13.9172,-13.9306,-22.5331,-13.9172
0,-23.9574,-24.543,-14.1637,-16.1205,-28.9853,-29.2821,-13.5245,-13.9617,-23.9574,-13.5245
0,-8.96557,-2.21144,-11.4471,-6.0436,-26.4802,-20.8162,-17.3181,-10.6199,-8.96557,-11.4471
0,-17.5087,-21.8267,-5.87565,-6.11648,-15.7769,-13.3765,-10.1375,-11.5925,-15.7769,-5.87565
0,-16.371,-18.2681,11.2234,9.94612,-19.2744,-18.2089,-15.2474,-12.2996,-16.371,11.2234
0,-8.24313,-7.651,-1.86771,-7.52364,-23.9241,-24.733,-14.7756,-12.5338,-8.24313,-1.86771
0,-4.20965,-5.48273,-2.92212,-8.31117,-24.2964,-24.3128,-9.8098,-9.98345,-4.20965,-2.92212
0,21.4459,3.94942,-2.60212,-3.10928,-25.6451,-26.7389,-12.5177,-8.58142,21.4459,-2.60212
0,-32.0979,-33.9538,-16.3964,-16.7653,-17.7483,-17.1387,-11.4947,-11.9864,-17.7483,-11.4947
0,-29.3293,-28.1538,-14.9635,-15.5168,-26.3743,-24.4583,-16.5657,-14.6023,-26.3743,-14.9635
0,-22.3908,-22.5693,-15.1475,-15.7221,-15.6626,-15.27,-15.1837,-15.1093,-15.6626,-15.1475
0,-35.2838,-31.682,-23.1459,-17.3215,-29.8532,-24.2507,-18.4634,-14.3082,-29.8532,-18.4634
0,-21.8495,-26.1342,-16.169,-18.3431,-22.2449,-23.0934,-13.9234,-12.821,-21.8495,-13.9234
0,-13.6024,-17.3088,-19.2902,-16.9553,-27.8204,-26.1632,-12.0598,-10.3043,-13.6024,-12.0598
0,-11.5689,-9.58237,-2.76048,-3.23376,-12.3644,-11.3402,-11.7225,-10.3003,-11.5689,-2.76048
0,-19.6265,-19.8035,-13.5159,-12.9578,-11.6225,-11.2705,-8.73229,-8.45243,-11.6225,-8.73229
0,-25.6437,-22.7187,-16.7861,-16.8156,-27.8575,-24.9689,-16.8128,-13.835,-25.6437,-16.7861
0,-17.2344,-16.0424,-13.996,-12.6838,-17.3302,-17.1315,-12.2569,-10.1494,-17.2344,-12.2569
0,-31.3193,-30.5812,-15.4029,-14.9666,-23.2579,-23.012,-9.45058,-7.28403,-23.2579,-9.45058
