"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","docksolv_min","dock_min"
0,-18.4586,-15.7945,-7.41995,-4.12005,-18.4586,-7.41995
0,-20.2671,-19.8897,-14.8009,-12.9535,-20.2671,-14.8009
0,-19.4073,-19.7139,-10.0107,-11.2767,-19.4073,-10.0107
0,-21.0656,-22.7433,-14.7096,-14.5023,-21.0656,-14.7096
0,-20.5225,-20.4754,-5.76426,-5.13299,-20.5225,-5.76426
0,1.9364,2.15117,-9.47395,-9.26164,1.9364,-9.47395
0,-16.278,-14.9424,-11.6239,-11.4015,-16.278,-11.6239
0,-25.751,-25.7104,10.2945,10.2612,-25.751,10.2945
0,-13.595,-13.595,-9.71733,-9.71733,-13.595,-9.71733
0,-18.1083,-18.2254,-2.42081,-0.563183,-18.1083,-2.42081
0,-27.9949,-27.4812,-13.6846,-13.8872,-27.9949,-13.6846
0,-14.3877,-15.0436,-8.63219,-7.68774,-14.3877,-8.63219
0,-20.0414,-19.6447,-13.1812,-12.7739,-20.0414,-13.1812
0,-22.9871,-25.9711,-15.4301,-12.5978,-22.9871,-15.4301
0,-25.1132,-24.329,-13.995,-12.789,-25.1132,-13.995
0,-12.2913,-10.3023,-10.6298,-12.1854,-12.2913,-10.6298
0,-27.201,-30.0695,-9.91093,-6.99718,-27.201,-9.91093
0,-22.2543,-21.4973,-12.482,-9.81216,-22.2543,-12.482
0,-13.237,-12.6004,-12.7761,-10.1448,-13.237,-12.7761
0,-16.3116,-16.3425,-5.8777,-6.8215,-16.3116,-5.8777
0,-20.7371,-20.2979,-15.6078,-14.3679,-20.7371,-15.6078
0,-14.2916,-16.3111,-7.43504,-7.06228,-14.2916,-7.43504
0,-27.7048,-27.3436,-3.18884,-8.46357,-27.7048,-3.18884
0,-22.8874,-23.9706,-13.3156,-13.9497,-22.8874,-13.3156
0,-24.2394,-22.1686,-10.9989,-11.0626,-24.2394,-10.9989
0,-19.6092,-20.1355,-10.9712,-12.0242,-19.6092,-10.9712
0,-19.448,-14.9306,-11.902,-7.44135,-19.448,-11.902
0,-21.0508,-21.0023,-9.26558,-9.76319,-21.0508,-9.26558
0,54.8836,52.2255,26.0596,24.8499,54.8836,26.0596
0,-21.9828,-21.9508,-13.8366,-13.8043,-21.9828,-13.8366
0,-20.897,-19.2027,-7.64685,-7.70182,-20.897,-7.64685
0,-16.1059,-14.3043,-6.69737,-4.90989,-16.1059,-6.69737
0,-18.2116,-18.0619,-9.18208,-9.17979,-18.2116,-9.18208
0,-28.2856,-23.7438,-20.2414,-17.1522,-28.2856,-20.2414
0,-33.5193,-29.3675,-26.1249,-21.2653,-33.5193,-26.1249
0,-17.5564,-21.3901,-2.22986,-2.87687,-17.5564,-2.22986
0,-23.203,-22.3578,-12.7402,-15.3382,-23.203,-12.7402
0,-30.4926,-31.788,-14.1334,-17.5773,-30.4926,-14.1334
0,-27.004,-25.4926,-14.7528,-14.3616,-27.004,-14.7528
0,-19.1965,-21.6809,-3.01006,-8.00744,-19.1965,-3.01006
0,-25.1679,-27.5882,-18.7135,-18.1278,-25.1679,-18.7135
0,-17.3435,-17.3435,-15.357,-15.357,-17.3435,-15.357
0,-27.0023,-24.9057,-11.0713,-9.02104,-27.0023,-11.0713
0,-22.6313,-16.5453,-12.6504,-8.72934,-22.6313,-12.6504
0,-5.42843,-4.14115,-3.16522,-6.13118,-5.42843,-3.16522
0,-23.0475,-24.255,-9.61203,-9.64353,-23.0475,-9.61203
0,-17.9162,-18.2185,-10.9196,-11.8035,-17.9162,-10.9196
0,-22.0144,-22.6276,-11.7442,-12.3574,-22.0144,-11.7442
0,-16.5153,-16.6261,-5.92798,-6.58263,-16.5153,-5.92798
0,-26.141,-25.2843,-15.0553,-13.9143,-26.141,-15.0553
0,-28.0827,-28.0562,-15.9239,-15.9013,-28.0827,-15.9239
0,-19.5228,-17.6043,-19.6241,-17.5298,-19.5228,-19.6241
0,-14.4866,-14.1472,-9.38133,-9.25173,-14.4866,-9.38133
0,-15.2039,-15.3951,-8.52103,-9.55654,-15.2039,-8.52103
0,-19.4565,-18.5735,-7.70848,-8.00296,-19.4565,-7.70848
0,-22.1826,-21.8035,-12.1655,-11.8761,-22.1826,-12.1655
0,-22.3841,-22.3494,-12.3237,-13.2903,-22.3841,-12.3237
0,-3.14603,-2.07634,-16.1839,-13.2336,-3.14603,-16.1839
0,-19.24,-16.8382,-16.4623,-14.4584,-19.24,-16.4623
0,-21.2019,-22.0366,-10.8532,-9.95243,-21.2019,-10.8532
0,-24.129,-19.0977,-11.5077,-2.92664,-24.129,-11.5077
0,-21.4081,-19.613,-10.6791,-8.23296,-21.4081,-10.6791
0,-27.3295,-25.1101,-7.15526,-6.41004,-27.3295,-7.15526
0,-24.1511,-23.4321,-16.5727,-15.468,-24.1511,-16.5727
0,-18.4876,-17.815,-18.4593,-19.2414,-18.4876,-18.4593
0,-16.4735,-16.6053,-10.1227,-10.3015,-16.4735,-10.1227
0,-16.3903,-16.3894,-8.34319,-8.27199,-16.3903,-8.34319
0,-19.3386,-19.8287,-12.1661,-12.7591,-19.3386,-12.1661
0,-25.2913,-21.4964,-18.2984,-11.365,-25.2913,-18.2984
0,-19.374,-15.2859,-11.739,-9.14746,-19.374,-11.739
0,-31.8488,-28.1362,-5.61787,-5.11849,-31.8488,-5.61787
0,-28.1298,-28.1485,-13.4074,-13.4529,-28.1298,-13.4074
0,-17.3475,-16.9944,-7.06968,-7.25801,-17.3475,-7.06968
0,-25.6047,-24.7537,-20.7259,-15.5525,-25.6047,-20.7259
0,-25.9718,-23.8694,-6.11105,-4.08354,-25.9718,-6.11105
0,-15.73,-13.3413,8.21813,5.44863,-15.73,8.21813
0,-20.5831,-22.8063,-11.8112,-10.4785,-20.5831,-11.8112
0,-7.57838,-3.78601,-9.55939,-6.69893,-7.57838,-9.55939
0,-19.8495,-20.3281,-6.60829,-5.7801,-19.8495,-6.60829
0,-6.33163,-9.63801,-11.8417,-12.1592,-6.33163,-11.8417
0,-27.049,-29.1456,-16.7132,-15.9885,-27.049,-16.7132
0,-20.056,-18.5878,-9.46671,-7.14145,-20.056,-9.46671
0,-18.9053,-19.6855,-9.19958,-11.5531,-18.9053,-9.19958
0,-25.8534,-22.3885,-12.1478,-6.49184,-25.8534,-12.1478
0,-25.1428,-24.4485,-11.8124,-8.989,-25.1428,-11.8124
