"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,1.58719,-3.12597,-2.72955,-1.47859,1.58719,-3.12597,-9.28049,-6.18492,1.58719,-2.72955
0,-7.57426,-10.5229,-8.35009,-4.91434,-7.57426,-10.5229,-17.7612,-11.2961,-7.57426,-8.35009
0,-8.86433,-7.8209,-13.0277,-10.1141,-8.86433,-7.8209,-17.8571,-10.9867,-8.86433,-13.0277
0,-10.5965,-8.23697,-4.62979,-2.84457,-10.5965,-8.23697,-17.9383,-12.4774,-10.5965,-4.62979
0,-12.0965,-15.1122,-2.53681,-4.13248,-12.0965,-15.1122,-15.7278,-12.5648,-12.0965,-2.53681
0,-11.1852,-11.5844,-4.45049,-4.38995,-11.1852,-11.5844,-22.8106,-10.7043,-11.1852,-4.45049
0,-17.2495,-13.8108,-11.6076,-10.6953,-17.2495,-13.8108,-16.6715,-11.9361,-17.2495,-11.6076
0,-2.96563,-7.95557,10.7853,1.41168,-2.96563,-7.95557,-16.3623,-10.5858,-2.96563,10.7853
0,-20.7253,-12.0318,-17.0304,-10.5873,-20.7253,-12.0318,-18.8974,-9.47481,-20.7253,-17.0304
0,-14.7,-9.98207,-5.00926,-3.97119,-14.7,-9.98207,-14.7793,-6.09778,-14.7,-5.00926
0,-9.46089,-13.6604,-4.68932,-8.58418,-9.46089,-13.6604,-16.1322,-11.9312,-9.46089,-4.68932
0,-10.3716,-9.16212,-5.34147,-0.947089,-10.3716,-9.16212,-14.5349,-8.78957,-10.3716,-5.34147
0,-7.25315,-9.08148,-10.1138,-10.7621,-7.25315,-9.08148,-10.708,-4.92826,-7.25315,-10.1138
0,-12.5597,-9.18955,-9.07124,-9.54248,-12.5597,-9.18955,-19.5267,-15.5353,-12.5597,-9.07124
0,-13.3089,-21.5451,-4.31659,-13.9885,-13.3089,-21.5451,-12.3388,-9.16933,-13.3089,-4.31659
0,-18.4099,-15.7908,-4.57817,-7.51239,-18.4099,-15.7908,-16.8328,-13.9521,-18.4099,-4.57817
0,-18.3606,-15.4024,3.6045,-3.06537,-18.3606,-15.4024,-15.8771,-9.23044,-18.3606,3.6045
0,-2.2301,-7.3003,0.332537,-1.95,-2.2301,-7.3003,-12.8399,-6.3492,-2.2301,0.332537
0,-5.37424,0.424048,-5.36774,-5.85556,-5.37424,0.424048,-19.0809,-12.5229,-5.37424,-5.36774
0,-14.1064,-13.4082,-0.751114,0.26688,-14.1064,-13.4082,-10.3019,-4.52253,-14.1064,-0.751114
0,-13.01,-17.6799,-2.30341,-0.674728,-13.01,-17.6799,-23.1785,-12.2425,-13.01,-2.30341
0,-14.614,-12.5329,-2.41841,-1.82785,-14.614,-12.5329,-17.7914,-11.7558,-14.614,-2.41841
0,-6.85352,-7.18423,-9.40256,-9.31926,-6.85352,-7.18423,-17.4949,-11.8099,-6.85352,-9.40256
0,-20.0944,-21.9776,1.89191,-3.03615,-20.0944,-21.9776,-18.8731,-14.0848,-20.0944,1.89191
0,-12.2144,-16.3467,-9.16866,-10.4376,-12.2144,-16.3467,-17.8928,-12.173,-12.2144,-9.16866
0,0.782896,-8.26038,1.07417,-2.55368,0.782896,-8.26038,-16.2104,-7.86688,0.782896,1.07417
0,-7.06955,-7.80562,-1.56391,-4.66464,-7.06955,-7.80562,-19.4339,-14.8787,-7.06955,-1.56391
0,1.60848,-7.83295,5.53585,1.22307,1.60848,-7.83295,-16.1791,-11.2274,1.60848,5.53585
0,-13.4501,-14.2815,6.72677,1.39146,-13.4501,-14.2815,-17.8523,-11.9331,-13.4501,6.72677
0,-10.0934,-17.327,-2.21965,-7.97948,-10.0934,-17.327,-17.5481,-11.5086,-10.0934,-2.21965
0,-28.2762,-25.4811,-9.92825,-7.12987,-28.2762,-25.4811,-17.3237,-11.3635,-28.2762,-9.92825
0,-15.4589,-17.4166,-6.33711,-6.33147,-15.4589,-17.4166,-19.2955,-12.9119,-15.4589,-6.33711
0,-12.7461,-8.36605,-10.8592,-5.14998,-12.7461,-8.36605,-14.8941,-7.62034,-12.7461,-10.8592
0,-10.1796,-7.65885,-8.58344,-3.17629,-10.1796,-7.65885,-17.8684,-9.40919,-10.1796,-8.58344
0,-19.4134,-14.9381,-8.39681,-9.37389,-19.4134,-14.9381,-14.2579,-9.32881,-19.4134,-8.39681
0,-17.5387,-15.5648,-3.63757,-6.03736,-17.5387,-15.5648,-19.212,-13.2679,-17.5387,-3.63757
0,-12.6159,-20.2281,2.62843,-2.01603,-12.6159,-20.2281,-20.111,-14.6326,-12.6159,2.62843
0,31.8815,2.2492,18.4652,10.5289,31.8815,2.2492,-7.60394,2.57351,31.8815,18.4652
0,-13.7118,-12.3205,-9.04254,-7.65584,-13.7118,-12.3205,-16.2828,-10.0612,-13.7118,-9.04254
0,-13.4171,-24.1059,-4.13243,-4.67415,-13.4171,-24.1059,-15.3925,-11.4396,-13.4171,-4.13243
0,-22.1306,-16.5327,-21.7101,-9.45449,-22.1306,-16.5327,-29.1018,-14.5295,-22.1306,-21.7101
0,-7.30393,-10.9904,-4.55822,-7.05619,-7.30393,-10.9904,-17.6181,-13.1683,-7.30393,-4.55822
0,-4.6456,-9.44126,4.00193,-3.28512,-4.6456,-9.44126,-20.1634,-14.6348,-4.6456,4.00193
0,6.73011,-11.399,18.8611,4.89554,6.73011,-11.399,-21.4853,-16.0853,6.73011,18.8611
0,-19.4606,-14.3559,-10.1112,-6.80363,-19.4606,-14.3559,-11.2023,-4.80778,-19.4606,-10.1112
0,-13.6992,-13.5661,-11.1839,-8.29653,-13.6992,-13.5661,-20.3779,-14.6586,-13.6992,-11.1839
0,-12.7653,-9.59339,-2.71148,-6.5609,-12.7653,-9.59339,-15.3973,-10.6148,-12.7653,-2.71148
0,-11.2712,-11.9569,8.2001,5.30947,-11.2712,-11.9569,-17.4039,-12.3883,-11.2712,8.2001
0,-12.5016,-8.48648,-11.5084,-9.7969,-12.5016,-8.48648,-18.142,-11.8347,-12.5016,-11.5084
0,-20.462,-19.4031,-12.1754,-11.7235,-20.462,-19.4031,-19.0612,-13.1524,-20.462,-12.1754
0,-13.4866,-12.9136,-10.7109,-7.82839,-13.4866,-12.9136,-20.8734,-15.6306,-13.4866,-10.7109
0,-14.5076,-15.7494,-9.84509,-10.6394,-14.5076,-15.7494,-16.6178,-8.88822,-14.5076,-9.84509
0,-15.9606,-17.8975,-5.64257,-3.95452,-15.9606,-17.8975,-20.9212,-15.9048,-15.9606,-5.64257
0,-21.8828,-24.1903,-9.27421,-8.20703,-21.8828,-24.1903,-14.0722,-10.3764,-21.8828,-9.27421
0,-16.6927,-16.6537,-11.0997,-13.8732,-16.6927,-16.6537,-17.2433,-12.0425,-16.6927,-11.0997
0,-17.8007,-18.356,-7.37629,-2.38306,-17.8007,-18.356,-18.9044,-11.9439,-17.8007,-7.37629
0,-12.5361,-15.0159,-8.60164,-7.20185,-12.5361,-15.0159,-18.5124,-14.739,-12.5361,-8.60164
0,-16.2747,-13.5912,-6.10834,-11.3494,-16.2747,-13.5912,-16.9597,-12.992,-16.2747,-6.10834
0,0.742461,-6.03236,-0.659527,-1.83358,0.742461,-6.03236,-18.4809,-13.3776,0.742461,-0.659527
0,-3.02379,-7.09184,15.0266,3.31194,-3.02379,-7.09184,-6.12216,5.4901,-3.02379,15.0266
0,-14.1087,-14.9026,-3.55138,-6.1998,-14.1087,-14.9026,-16.6207,-11.3607,-14.1087,-3.55138
0,-8.2314,-13.7398,-2.37961,-4.49346,-8.2314,-13.7398,-16.0363,-7.89822,-8.2314,-2.37961
0,-18.7309,-15.0932,-6.96092,-12.7492,-18.7309,-15.0932,-17.5414,-12.1812,-18.7309,-6.96092
0,-23.7954,-13.5367,-19.1253,-4.67481,-23.7954,-13.5367,-21.584,-2.24856,-23.7954,-19.1253
0,17.1081,10.4655,19.0146,-1.65563,17.1081,10.4655,-14.4488,-9.38854,17.1081,19.0146
0,-12.2769,-12.5281,-9.65051,-7.86063,-12.2769,-12.5281,-13.0632,-6.34716,-12.2769,-9.65051
0,-23.0754,-18.5016,-19.7385,-16.1516,-23.0754,-18.5016,-18.3638,-14.6389,-23.0754,-18.3638
0,-3.89102,-8.93672,3.39684,-2.99189,-3.89102,-8.93672,-10.9547,-5.30253,-3.89102,3.39684
0,-12.9828,-15.4916,1.51039,-1.20717,-12.9828,-15.4916,-17.1293,-12.2048,-12.9828,1.51039
0,-14.6285,-12.3911,-5.81312,-3.34997,-14.6285,-12.3911,-12.6284,-7.76923,-14.6285,-5.81312
0,-11.16,-11.2597,-9.17195,-7.40375,-11.16,-11.2597,-16.4048,-11.1143,-11.16,-9.17195
0,-16.9728,-15.7466,-5.97337,-5.13985,-16.9728,-15.7466,-17.045,-12.1286,-16.9728,-5.97337
0,-18.8322,-16.7442,-9.02962,-7.74841,-18.8322,-16.7442,-19.8071,-14.2364,-18.8322,-9.02962
0,-13.9,-11.6193,-7.40218,-5.73328,-13.9,-11.6193,-22.2413,-16.4134,-13.9,-7.40218
0,-18.0587,-14.0632,-10.1688,-6.82602,-18.0587,-14.0632,-19.3032,-12.299,-18.0587,-10.1688
0,-6.18637,-9.5895,-2.97254,-3.08222,-6.18637,-9.5895,-16.7473,-11.9329,-6.18637,-2.97254
0,-16.5481,-12.7284,1.12247,-2.49562,-16.5481,-12.7284,-13.1305,-9.38588,-16.5481,1.12247
0,-10.0585,-5.81279,1.27376,0.511471,-10.0585,-5.81279,-12.0544,-6.87386,-10.0585,1.27376
0,8.1519,-6.08256,38.7983,29.5701,8.1519,-6.08256,-17.9608,-9.8892,8.1519,38.7983
0,-9.16403,-12.0467,-7.07691,-5.31139,-9.16403,-12.0467,-15.5612,-10.0601,-9.16403,-7.07691
0,-24.6351,-20.719,-5.35866,-8.35525,-24.6351,-20.719,-17.8489,-12.3819,-24.6351,-5.35866
0,-12.5602,-14.2816,-8.71887,-13.8867,-12.5602,-14.2816,-7.23771,-7.1692,-12.5602,-7.23771
0,-5.49319,-8.07883,-0.573784,-1.12281,-5.49319,-8.07883,-18.4471,-14.2995,-5.49319,-0.573784
0,-14.005,-13.8345,-4.76445,-1.69993,-14.005,-13.8345,-14.193,-8.91658,-14.005,-4.76445
0,-22.7289,-18.6746,-11.2325,-12.6378,-22.7289,-18.6746,-23.6614,-17.2531,-22.7289,-11.2325
0,-22.7082,-20.5633,-8.80537,-12.9432,-22.7082,-20.5633,-14.0331,-10.1952,-22.7082,-8.80537
0,-14.6051,-10.5198,-2.82009,-5.94805,-14.6051,-10.5198,-12.8591,-8.14468,-14.6051,-2.82009
